"site_no","start_date","end_date","lam1","tau2","tau3","tau4","ar1","amplitude","phase","ma1","ma2","ma3","ma4","ma5","ma6","ma7","ma8","ma9","ma10","ma11","ma12","ma13","ma14","ma15","ma16","ma17","ma18","ma19","ma20","ma21","ma22","ma23","ma24","ma25","ma26","ma27","ma28","ma29","ma30","ma31","ma32","ma33","ma34","ma35","ma36","ma37","ma38","ma39","ma40","ma41","ma42","ma43","ma44","ma45","ml1","ml2","ml3","ml4","ml5","ml6","ml7","ml8","ml9","ml10","ml11","ml12","ml13","ml14","ml15","ml16","ml17","ml18","ml19","ml20","ml21","ml22","mh1","mh2","mh3","mh4","mh5","mh6","mh7","mh8","mh9","mh10","mh11","mh12","mh13","mh14","mh15","mh16","mh17","mh18","mh19","mh20","mh21","mh22","mh23","mh24","mh25","mh26","mh27","fl1","fl2","fl3","fh1","fh2","fh3","fh4","fh5","fh6","fh7","fh8","fh9","fh10","fh11","dl1","dl2","dl3","dl4","dl5","dl6","dl7","dl8","dl9","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","dl18","dl19","dl20","dh1","dh2","dh3","dh4","dh5","dh6","dh7","dh8","dh9","dh10","dh11","dh12","dh13","dh14","dh15","dh16","dh17","dh18","dh19","dh20","dh21","dh22","dh23","dh24","ta1","ta2","ta3","tl1","tl2","tl3","tl4","th1","th2","th3","ra1","ra2","ra3","ra4","ra5","ra6","ra7","ra8","ra9","comment"
"02336968","1998-10-01","2016-09-30",54.24,0.63,0.61,0.46,0.519,0.23,51.226,54.238,26.1,202.909,32.947,2.078,20.654,6.742,4.504,0.928,0.585,0.461,71.834,82.32,87.53,66.915,51.092,33.565,49.446,20.883,40.511,24.33,53.369,70.797,118.894,107.252,109.616,102.643,95.426,101.709,133.447,120.834,130.867,133.37,151.429,125.587,7.851,1.509,3.028,90.694,0.371,1.219,1.505,0.599,1.281,0.06,24.939,30.367,32.583,24.854,16.558,10.827,8.651,6.557,5.088,8.196,13.26,19.79,77.679,0.11,0.057,0.071,0.069,79.864,5.73,0.364,120.748,0.084,450.394,432.333,497.461,401.956,305.917,198.989,390.25,128.689,364.227,164.35,432.072,425.389,117.328,35.662,22.308,3.87,1.95,7.693,0.531,26.984,26.867,15.081,15.374,7.102,12.032,18.189,9.447,10.722,50.56,4.9,22.5,22.157,50.333,18.333,18.333,19.611,11.667,22.5,10.778,2.278,4,3.744,4.238,4.668,7.631,11.827,120.748,113.039,109.62,109.253,77.036,0.143,0.179,0.292,0.433,0.187,8.75,52.786,0,NA,0,1200.778,688.587,382.544,180.48,110.788,62.081,72.821,68.289,54.625,44.075,46.007,14.657,6.915,2.641,3.113,63.497,9.982,2.567,1.571,4.047,26.31,98.333,1.722,196.278,0.317,47.391,0.075,351.91,22.625,0.025,0.036,117.294,75.914,0.115,64.378,237.221,24.85,361.573,0.272,0.362,0.129,124.833,7.773,"none"
"02337000","1904-10-01","2016-09-30",334.842,0.551,0.532,0.382,0.8,0.417,61.76,335.51,194,145.626,17.116,1.729,12.865,5,3.596,0.485,0.306,0.243,490.645,565.995,633.959,501.124,329.651,218.5,227.16,155.899,151.778,157.104,248.091,359.458,76.866,71.028,77.039,72.113,67.049,66.588,81.627,77.186,84.849,75.996,72.088,68.163,9.345,1.263,2.563,84.952,0.314,1.41,1.425,0.426,0.985,0.037,195.886,232.747,248.278,212.968,138.594,90.231,73.638,56.464,44.704,60.363,92.776,143.092,70.11,0.149,0.089,0.149,0.105,56.769,8.891,0.463,64.498,0.131,1908.709,1942.329,2406.759,1807.354,1194.57,765.959,967,626.241,886.651,695.53,1004.546,1287.165,124.423,19.63,14.227,3.448,1.835,6.371,0.422,18.489,25.607,13.364,15.213,4.336,7.858,13.552,5.995,8.848,43.813,3.75,15.494,28.433,44.949,13.19,13.975,12.797,4.975,15.494,8.772,2.608,0.62,31.295,33.399,36.727,51.104,82.309,64.498,63.412,65.124,58.166,48.259,0.161,0.189,0.263,0.51,0.268,9.615,54.682,0,NA,0,4400.38,3583.443,2260.204,1041.549,685.923,74.307,59.509,54.591,45.888,37.161,22.682,11.651,5.369,2.72,5.176,44.457,13.17,3.523,2.658,5.902,32.545,273.646,0.924,304,0.511,60.139,0.052,354.182,23.493,0.004,0.025,150.506,58.065,0.151,187.925,230.578,80.071,299.362,0.289,0.216,0.102,104.772,7.185,"weighted"
"02337170","1965-10-01","2016-09-30",3396.69,0.36,0.41,0.22,0.782,0.31,70.915,3396.694,2460,69.101,6.946,1.381,4.765,2.925,2.37,0.2,0.137,0.111,3931.214,4256.912,4568.008,4126.15,3620.211,2922.801,2923.596,2939.367,2834.397,2655.383,2890.402,3141.828,51.624,51.266,55.582,43.394,42.255,40.015,42.477,39.668,46.337,50.659,49.859,42.87,3.519,0.6,1.476,52.335,0.174,1.649,1.01,0.498,0.835,-0.029,1916.078,1940.392,1885.294,2027.647,1639.451,1450.686,1406.98,1381.804,1309.549,1320.588,1435.51,1626.078,35.791,0.482,0.379,0.442,0.452,20.481,37.922,0.539,13.09,0.581,10747.255,10667.843,13103.529,9830.196,8131.961,6352.549,6930.196,6160.392,7517.255,7297.843,7870.196,7581.765,67.193,7.125,5.366,2.712,1.667,4.315,-0.025,9.62,5.976,3.666,3.635,2.215,4.601,9.245,2.983,25.333,41.988,0,23.039,38.529,28.451,1.667,32.471,9.216,1.039,23.039,26.098,4.216,0.686,1196.137,1314.415,1463.047,1789.704,2116.23,13.09,17.142,20.524,24.325,24.271,0.486,0.595,0.728,0.703,0.569,2.548,68.929,0,NA,0,19816.275,15767.712,11003.137,7036.464,5255.998,44.02,46.784,41.172,38.725,38.018,8.055,4.473,2.86,2.108,3.69,41.957,5.663,3.094,1.604,3.963,10.667,266.441,0.843,302.157,0.732,74.331,0.07,349.093,41.554,0.006,0.019,142.64,58.706,0.184,1069.797,162.714,809.622,153.657,0.423,0.167,0.13,158.765,6.137,"none"
"02337410","2007-10-01","2016-09-30",85.44,0.6,0.58,0.45,0.15,0.13,46.679,85.439,45.25,244.875,26.44,1.888,16.326,6.624,4.702,0.733,0.496,0.406,111.529,124.436,142.554,126.479,89.173,42.068,33.587,26.831,107.298,32.349,64.24,128.028,83.285,81.191,74.743,63.054,66.972,35.799,51.491,73.009,102.841,70.928,85.2,127.522,16.172,1.966,3.723,119.81,0.676,1.285,1.529,0.819,1.529,0.057,55.711,62.667,72.722,64.933,44.756,24.241,16.871,12.48,9.996,13.856,23.374,34.7,83.612,0.092,0.058,0.081,0.065,61.4,5.842,0.498,60.756,0.068,585.622,562.867,615,601.722,509.244,83.256,88.2,106.067,2309.856,131.733,378.189,961.944,349.145,34.308,13.92,3.428,1.998,14.696,1.157,58.374,46.843,18.722,24.69,11.143,14.531,27.48,11.799,7.778,54.842,1.8,12.889,40.769,46.556,10.556,9.111,12,5.667,12.889,7.444,1.444,0.333,4.496,5.214,5.513,9.506,13.508,60.756,57.662,58.096,43.646,38.491,0.099,0.122,0.21,0.425,0.21,12.667,40.391,0,NA,0,3881.889,1632.556,829.143,374.346,215.861,161.882,139.981,120.638,85.861,64.418,85.788,18.324,8.273,2.867,5.429,83.72,20.296,3.88,1.863,7.078,38.531,304.278,0.333,338,0.39,59.329,0.333,363.881,13.196,0.027,0.003,151.708,54.745,0.384,84.341,835.359,31.4,1272.645,0.268,0.16,0.083,114,6.823,"none"
"02337500","1954-10-01","2016-09-30",50.38,0.47,0.47,0.37,0.371,0.32,75.315,50.38,35,143.758,20.447,1.439,8.073,3.824,2.9,0.587,0.377,0.299,61.724,74.331,89.28,79.645,57.305,43.169,37.78,28.758,26.99,25.153,34.636,47.351,70.106,70.923,74.765,61.128,45.021,35.315,42.601,41.015,47.178,48.445,60.722,56.387,6.498,1.055,2.226,77.044,0.236,1.419,1.53,0.518,0.992,-0.036,31.819,39.39,46.084,46.755,36.227,26.816,21.899,17.93,14.811,15.691,18.472,24.755,62.007,0.32,0.23,0.302,0.248,37.911,22.976,0.638,46.179,0.314,306.277,367.36,470.55,346.461,190.023,127.712,125.487,82.74,168.292,108.7,168.618,208.666,179.161,20.08,9.444,2.514,1.657,14.128,-0.677,28.857,22.876,9.918,12.869,5.013,9.5,17.702,6.168,5.597,70.024,2.333,11.935,47.683,23.097,5.516,10.597,8.903,3.661,11.935,5.968,2.935,0.435,11.154,11.603,12.171,14.257,17.68,46.179,44.216,44.315,45.465,46.066,0.319,0.348,0.407,0.571,0.311,10.25,130.191,0,NA,0,1024.439,531.589,297.909,138.047,94.226,88.85,72.291,61.288,47.619,42.173,29.27,8.512,3.944,2.459,6.029,80.88,17.293,2.599,1.513,7.647,49.222,291.581,0.419,311,0.453,53.35,0.069,357.056,27.802,0.005,0.008,158.686,55.483,0.258,34.782,421.881,14.18,599.561,0.242,0.134,0.069,104.742,8.343,"none"
"02338000","1938-10-01","2016-09-30",3865.286,0.379,0.425,0.269,0.809,0.39,69.704,3865.288,2841.364,77.599,6.984,1.361,5.059,2.893,2.33,0.203,0.133,0.107,4713.93,5239.521,5843.72,4926.929,4062.575,3194.094,3247.351,3059.215,2870.996,2604.902,3098.596,3598.928,53.909,51.095,56.859,43.862,39.32,37.073,42.868,41.616,47.807,46.185,47.983,47.177,3.947,0.705,1.684,57.423,0.212,1.591,1.06,0.457,0.898,0.008,2324.091,2568.181,2605.909,2613.334,2064.091,1726.743,1564.697,1476.5,1354.363,1361.44,1543.984,1848.106,42.455,0.416,0.325,0.393,0.391,23.928,32.559,0.57,19.467,0.487,14058.637,13523.182,17077.575,12558.333,9353.485,6980.152,8062.121,6943.333,7806.515,7291.212,8992.121,9822.424,78.698,8.387,6.369,2.585,1.579,4.388,-0.29,10.649,8.992,5.012,5.548,2.327,5.074,9.824,3.158,19.848,38.31,0,19.136,35.837,25.652,2.954,25.379,8.591,1.394,19.136,20.228,5.061,0.727,1182.151,1307.973,1448.695,1759.913,2136.559,19.467,23.885,26.376,27.682,28.589,0.415,0.508,0.617,0.679,0.514,4.407,69.168,0,NA,0,25876.667,21458.132,14791.623,8519.874,6280.049,42.774,46.622,44.026,39.35,38.294,9.114,5.22,3.003,2.185,4.299,51.387,8.397,2.999,2.095,5.031,16.869,261.25,1.061,298.454,0.733,76.257,0.095,352.33,37.203,0.009,0.022,146.735,57.383,0.256,1214.25,178.339,851.949,179.95,0.392,0.167,0.126,140.227,9.149,"weighted"
"02338500","1928-10-01","2016-09-30",3973.362,0.411,0.464,0.285,0.824,0.36,52.226,4000.089,2652,85.458,7.69,1.509,5.754,3.237,2.596,0.221,0.149,0.121,4753.312,5147.45,6377.527,4641.311,4268.344,2802.667,3175.248,2541.957,2963.333,2700.344,4012.555,4669.226,47.345,49.24,53.182,40.058,45.772,32.708,39.387,39.59,49.364,51.129,56.212,48.877,4.641,0.966,2.11,71.287,0.367,1.493,1.127,0.78,1.12,0.096,2612.667,2429.334,2730,2562.666,2048,1661.334,1521.334,1411.667,1222.333,1518,1681.334,2166,46.824,0.417,0.309,0.382,0.342,26.697,30.955,0.565,26.905,0.427,12449.334,13488,16432.666,10973.333,11413.334,5695.334,7996.667,6168,9810,7984,12445.333,12071.334,92.634,8.262,8.684,2.962,1.75,5.497,0.467,10.783,11.954,7.723,9.624,2.418,5.35,10.926,3.58,18.466,47.72,0,18.266,45.566,35.667,5.4,22.4,9.934,2.267,18.266,18.867,2.267,0.933,1144.333,1084.973,1146.463,1407.601,1737.969,26.905,9.2,12.363,13.083,13.291,0.437,0.439,0.538,0.674,0.519,4.378,55.535,0,NA,0,28898.666,24265.111,16807.334,10043.755,7021.341,59.695,69.552,64.799,57.804,49.796,10.919,6.308,3.755,2.525,4.296,47.763,8.91,3.633,2.533,5.163,17.155,264.167,1.267,313.6,0.73,78.517,0.41,339.705,35.504,0.046,0.023,115.341,62.509,0.252,1252.317,193.392,917.516,194.434,0.401,0.153,0.124,141.133,8.869,"weighted"
"02338523","2002-10-01","2016-09-30",21.14,0.49,0.46,0.33,0.421,0.38,79.101,21.138,14.1,130.7,29.833,1.499,9.097,4.607,3.411,0.834,0.577,0.464,22.038,30.254,33.989,34.686,26.958,17.487,19.361,10.469,9.849,9.56,16.087,23.512,61.737,74.676,56.971,62.16,47.103,38.039,64.246,57.352,58.5,54.601,76.784,97.496,4.647,1.226,2.38,77.998,0.268,1.259,1.461,0.757,1.286,0.033,13.084,16.011,19.964,20.781,14.931,11.354,8.814,6.801,5.561,5.784,7.941,10.178,73.095,0.213,0.157,0.209,0.178,52.53,15.693,0.649,63.901,0.199,91.036,125.193,124.85,159.336,96.893,49.832,108.017,30.352,44.877,40.616,89.126,133.407,133.929,20.818,9.734,2.894,1.766,11.872,-0.384,20.175,23.343,8.857,8.626,4.35,8.702,14.198,6.036,8.357,54.25,3,12.214,40.895,32.929,6.429,11.5,10.643,4.929,12.214,8.286,3.143,1.643,3.351,3.354,3.55,4.593,6.136,63.901,65.207,63.694,50.064,65.88,0.238,0.252,0.326,0.518,0.318,9.611,54.232,0,NA,0,338.936,175.864,102.726,52.203,38.894,69.319,62.112,56.62,40.738,39.806,24.038,7.285,3.702,2.567,6.502,92.523,15.912,3.094,1.304,7.462,34.55,190.143,1.071,254.286,0.329,48.705,0.111,350.989,24.903,0.026,0.022,145.489,67.637,0.195,12.166,368.893,5.283,478.049,0.296,0.103,0.064,127,11.251,"none"
"02338660","1978-10-01","2016-09-30",138.01,0.6,0.53,0.38,0.622,0.4,56.656,138.014,74.1,159.086,28.204,1.863,29.97,7.609,4.88,0.79,0.471,0.368,189.603,266.064,276.328,201.455,118.197,84.888,87.722,54.166,44.138,55.536,115.428,170.521,73.891,86.485,86.88,68.917,65.619,72.325,86.585,82.502,97.854,89.495,84.589,85.936,8.131,1.562,3.196,97.348,0.436,1.087,1.588,0.809,1.273,0.049,84.145,102.25,107.316,83.532,46.713,27.319,22.093,17.779,12.474,19.801,37.068,62.504,85.424,0.074,0.044,0.056,0.052,85.456,4.449,0.458,107.352,0.054,793.632,1216.026,1465.053,846.808,503.416,433.197,451.099,246.457,232.094,315.437,550.969,819.132,139.966,27.179,15.52,3.912,1.997,9.217,-0.038,19.201,38.865,16.681,15.452,6.293,10.041,16.428,7.909,6.763,48.181,4.042,14.684,33.178,52.895,15.105,10.921,13.053,6.868,14.684,6.605,2.5,0.579,6.91,7.296,7.95,13.099,24.078,107.352,105.193,100.276,84.943,78.897,0.093,0.107,0.177,0.409,0.131,13.725,58.206,0.053,616.441,0,2438.474,1463.026,897.41,439.969,293.266,68.886,61.34,58.072,47.153,45.945,32.908,12.111,5.937,3.138,5.027,75.384,16.963,4.052,2.199,6.23,44.11,282.789,0.474,314.263,0.362,49.663,0.143,352.557,24.474,0.011,0.011,143.284,56.955,0.279,95.741,300.653,42.6,394.85,0.298,0.221,0.114,103.816,7.974,"none"
"02339495","2006-10-01","2016-09-30",75.507,0.69,0.593,0.433,0.663,0.447,50.752,75.506,31.067,192.363,55.432,2.435,140.25,17.259,9.731,1.436,0.829,0.662,126.18,186.954,128.691,139.003,56.067,24.49,28.345,18.487,15.382,10.168,41.022,138.223,85.977,93.374,74.04,81.34,78.033,79.793,118.378,99.979,90.606,117.936,105.453,126.963,12.341,2.216,3.327,131.426,0.696,0.874,1.374,0.939,1.374,0.091,45.611,51.555,53.133,45.544,20.055,7.656,5.484,2.86,2.54,2.766,9.234,23.964,108.438,0.014,0.007,0.008,0.011,125.47,0.706,0.381,138.101,0.006,567.778,832.111,486.222,647.667,312.945,95.011,153.944,109.12,74.986,58.622,259.155,1004.667,159.299,35.924,29.453,4.72,2.482,11.368,0.041,19.499,62.777,34.897,30.054,8.986,14.13,21.145,12.572,6.889,32.319,4.556,13.445,41.363,69.444,21.556,10.222,12.333,8.222,13.445,6.556,1.445,1.666,0.522,0.721,0.906,1.71,3.214,138.101,113.223,111.402,101.631,97.531,0.017,0.029,0.056,0.255,0.035,13.377,39.853,0,NA,0,1684.667,1078.519,727.409,323.958,188.492,76.999,70.051,80.298,70.874,53.958,54.458,23.509,10.461,3.614,6.117,57.808,17.853,5.766,2.62,6.907,43.857,241.444,1.778,291.444,0.247,60.265,0.511,242.095,18.833,0.067,0.026,92.215,47.259,0.449,57.77,317.521,26.989,437.991,0.312,0.267,0.15,112.222,6.702,"weighted"
"02339500","1896-10-01","2016-09-30",5466.76,0.43,0.4,0.29,0.845,0.44,68.152,5466.757,3980,88.776,8.494,1.374,7.305,3.455,2.66,0.24,0.15,0.118,6882.906,8063.311,8934.26,7423.538,5420.676,4395.518,4441.599,4073.537,3381.065,3168.39,3884.576,5672.992,56.013,53.12,54.337,50.479,45.16,44.316,48.952,49.988,51.992,47.868,46.522,54.041,7.375,0.908,1.879,65.914,0.247,1.54,1.472,0.507,0.85,0.009,2783.692,3128.458,3463.95,3368.158,2491.917,1934.833,1685.558,1554.483,1333.592,1330.65,1592.567,2148.958,70.443,0.262,0.199,0.256,0.287,35.831,19.898,0.493,44.069,0.295,18447.417,19802.75,23529.75,18847.167,12759,9989.417,10619.833,9809.15,8855.25,8097.892,9318.083,15558.333,91.559,8.24,7.362,2.588,1.631,5.134,-0.225,10.552,10.001,7.845,8.462,2.307,5.479,10.512,3.315,20.292,71.938,4,16.025,48.34,27.475,4.1,21.225,7.358,1.45,16.025,20.425,10.258,0.808,1046.392,1212.593,1499.303,1877.013,2442.694,44.069,39.683,37.568,38.296,33.925,0.263,0.377,0.472,0.613,0.354,4.304,91.788,0,NA,0,37459,32552.167,24311.119,13214.756,9466.447,53.016,49.97,47.702,40.536,37.484,9.412,6.108,3.32,2.313,5.056,49.65,8.648,3.751,2.828,5.71,13.701,263.812,1.383,294.058,0.715,74.732,0.06,356.55,35.248,0.004,0.049,155.91,56.571,0.14,1710.841,187.133,1235.218,185.337,0.384,0.141,0.103,132.358,23.413,"none"
"02340500","1944-10-01","1970-09-30",78.9,0.52,0.58,0.47,0.487,0.3,71.238,78.899,47,168.56,17.755,1.679,6.858,3.6,2.848,0.5,0.333,0.272,95.655,134.609,144.721,144.841,79.833,47.435,67.151,39.392,31.349,34.722,54.666,76.191,60.521,68.515,86.637,86.389,69.865,45.99,74.3,67.377,71.024,40.356,53.662,66.863,8.7,1.249,2.593,91.71,0.462,1.279,1.487,0.592,1.072,0.083,46.385,56.538,65.577,61.154,39.615,27.769,24.923,19.854,15.838,20.973,23.515,32.077,59.658,0.278,0.17,0.267,0.194,35.748,17.033,0.527,44.165,0.215,417.462,605.654,712.308,771.731,351.885,142.115,532.654,173.885,143.577,129.846,363.846,344.385,200.083,29.793,15.319,2.772,1.697,11.139,0.565,30.929,24.269,15.246,20.061,5.685,10.684,19.52,7.437,8.462,45.248,0,13.885,26.429,31.423,9.269,13.423,10.615,4.769,13.885,8.385,2.308,0.615,13.273,13.596,14.665,18.136,23.068,44.165,45.468,42.738,37.082,40.328,0.282,0.312,0.386,0.596,0.404,9.864,49.097,0,NA,0,1908.346,1113.154,633.599,260.726,160.215,103.066,79.827,69.492,50.363,39.582,40.603,13.481,5.547,2.885,5.842,54.355,13.386,2.971,1.944,6.594,33.311,274.038,0.692,294.885,0.493,62.02,0.13,354.006,19.797,0.012,0.014,161.481,57.958,0.222,62.54,417.409,26.429,593.179,0.247,0.182,0.087,101.654,8.851,"none"
"02341500","1929-10-01","2001-09-30",6761.46,0.42,0.4,0.29,0.843,0.52,66.592,6761.461,5080,88.32,7.679,1.331,6.703,3.383,2.607,0.223,0.143,0.112,8751.599,10409.072,11644.096,10073.06,6504.515,5005.525,5020.902,4664.657,3851.171,3896.222,4791.718,6741.34,45.297,47.145,56.317,54.502,43.013,40.786,41.094,38.758,44.281,42.811,45.648,48.403,5.502,0.884,1.962,65.706,0.272,1.448,1.206,0.434,0.777,0.005,3462.708,4017.708,4505.167,3928.472,2557.903,1869.792,1797.278,1799.972,1564.875,1506.736,1632.792,2357.25,75.822,0.231,0.18,0.221,0.284,30.953,17.965,0.492,27.988,0.243,20868.194,24576.944,33088.333,28824.861,14582.917,10458.889,11038.056,9606.667,8171.944,9330.417,12201.944,16671.667,96.774,8.915,7.106,2.441,1.555,4.685,-0.707,10.905,8.171,8.196,7.137,2.056,5.768,10.392,3.198,24.625,41.151,0,14.264,55.227,23.306,3.75,23.819,6.167,1.472,14.264,24.75,3.444,0.694,1132.625,1406.081,1825.286,2336.769,3004.112,27.988,26.412,31.325,33.112,31.411,0.223,0.359,0.46,0.596,0.364,3.237,80.11,0,NA,0,50925,42714.398,30718.155,16776.815,11946.981,45.088,45.394,43.554,36.711,35.858,10.025,6.047,3.303,2.341,5.733,59.605,7.691,3.779,2.547,6.403,11.249,267.486,1.083,292.028,0.723,77.155,0.059,8.054,45.692,0.006,0.03,158.186,48.561,0.219,1788.996,200.202,1618.992,163.1,0.453,0.168,0.154,162.917,13.733,"none"
"02341505","1929-10-01","2013-09-30",6612.97,0.42,0.41,0.28,0.849,0.49,66.213,6612.97,4880,86.94,7.793,1.355,6.721,3.52,2.698,0.224,0.148,0.117,8349.561,9997.814,11212.862,9516.401,6458.282,4957.577,5072.179,4569.441,3929.669,3873.774,4872.905,6743.015,45.629,47.423,55.855,52.979,44.443,40.77,40.334,38.655,44.042,42.589,46.552,46.706,5.638,0.928,2.018,66.847,0.274,1.416,1.244,0.475,0.879,0.009,3307.798,3813.869,4267.762,3726.667,2489.393,1893.393,1837.31,1819.262,1593.083,1524.821,1632.155,2497.524,74.33,0.25,0.193,0.224,0.291,32.172,19.301,0.489,28.261,0.249,19816.667,23328.452,31475.357,26962.738,15358.571,10584.286,11199.524,9340.476,8638.69,9240.595,12317.024,16126.19,98.082,8.611,7.213,2.52,1.592,5.19,-0.536,10.459,8.558,8.495,7.539,2.132,5.766,10.543,3.238,24.381,40.353,0,14.429,54.331,25.012,4,23.821,6.321,1.5,14.429,24.524,3.298,2.976,1161.393,1408.106,1788.322,2301.471,2933.813,28.261,26.671,31.519,33.839,31.857,0.238,0.366,0.472,0.59,0.375,2.963,70.18,0,NA,0,48844.048,41027.063,29593.027,16194.615,11598.406,50.133,49.381,46.495,39.02,37.92,10.009,6.064,3.319,2.357,5.618,60.789,7.706,3.964,2.667,6.335,11.362,131.44,3.845,213.595,0.724,76.674,0.029,6.955,47.388,0.007,0.088,156.556,50.509,0.041,1740.325,199.212,1590.088,163.837,0.458,0.169,0.155,165.417,13.587,"none"
"02341800","1968-10-01","2016-09-30",428.1,0.49,0.54,0.38,0.693,0.46,60.321,428.096,255,124.988,12.099,1.679,6.939,3.617,2.87,0.35,0.232,0.19,583.145,744.984,908.89,670.11,339.815,244.534,265.229,248.426,191.069,189.615,279.686,489.217,58.355,68.614,70.897,67.365,51.869,43.218,40.479,48.08,36.235,38.583,51.622,60.565,12.099,1.206,2.699,86.422,0.444,1.252,1.301,0.411,0.884,-0.027,303.479,344.917,361.375,287.417,182.408,142.64,139.969,135.223,124.658,128.979,153.615,218.352,56.829,0.4,0.259,0.406,0.272,27.528,25.863,0.569,27.713,0.305,1883.146,2669.146,3923.833,2598.208,1160.396,668.229,778.979,737.771,476.729,489.104,1013.438,1804.875,144.394,16.281,11.268,3.265,1.812,7.029,0.603,16.924,26.427,12.368,12.511,4.075,7.993,14.138,5.817,9.083,49.85,0,12.396,38.626,41.708,9.333,12,10.896,4.521,12.396,8.917,3.229,0.875,104.379,106.181,109.212,126.449,152.439,27.713,28.03,27.41,25.786,24.448,0.409,0.428,0.496,0.631,0.471,8.92,56.582,0,NA,0,5787.917,4027.979,2542.432,1293.426,862.058,82.014,82.773,76.656,49.68,40.866,22.698,9.97,5.072,2.683,6.138,61.151,15.341,3.835,2.065,7.354,32.083,263.302,0.792,286.792,0.667,74.45,0.083,339.465,38.186,0.008,0.016,158.142,37.838,0.236,216.919,322.268,95.065,358.41,0.295,0.129,0.073,104.75,6.688,"none"
"02342500","1946-10-01","2015-09-30",408.95,0.67,0.58,0.39,0.701,0.46,61.664,408.95,165,186.478,25.956,2.478,39.739,13.073,8.264,0.721,0.503,0.414,580.967,828.421,1014.236,758.148,302.431,170.099,236.817,135.895,89.922,125.428,245.774,444.525,74.425,81.087,87.813,89.379,83.478,74.089,89.564,83.634,94.682,75.999,86.114,84.729,14.526,2.19,4.425,115.985,0.77,1.27,2.062,0.724,1.248,0.053,230.561,301.257,330.362,212.668,82.81,43.726,43.875,36.997,24.201,35.632,64.684,142.346,109.248,0.085,0.037,0.081,0.043,53.104,3.664,0.406,73.682,0.047,2196.043,3300.594,4720.754,3810.826,1359.594,636.912,1312.665,673.031,501.83,677.309,1510.597,1921.188,152.148,43.182,23.877,5.539,2.655,7.166,-0.247,25.184,71.979,34.676,26.961,8.998,12.314,19.436,11.602,6.884,41.202,4.17,11.899,33.838,80.058,25.623,9.188,11.797,8.377,11.899,6.797,2.783,0.623,15.047,15.542,17.138,25.602,46.492,73.682,75.441,73.552,66.838,74.227,0.091,0.104,0.155,0.321,0.139,11.2,64.689,0,NA,0,8109.275,5401.324,3299.418,1579.149,992.438,62.27,55.274,55.639,45.662,42.854,49.147,19.996,9.571,3.419,7.273,53.251,20.081,6.795,3.064,7.669,42.698,274.703,0.594,299.507,0.404,53.567,0.073,347.52,33.392,0.006,0.016,158.234,50.417,0.219,277.839,287.08,126.922,397.247,0.297,0.234,0.127,100.348,8.311,"none"
"02342850","2008-10-01","2016-09-30",102.57,0.67,0.7,0.55,0.571,0.37,40.558,102.57,36.8,188.45,24.248,2.787,13.521,4.586,3.339,0.722,0.422,0.334,158.781,152.788,175.653,202.845,59.317,29.849,33.041,28.576,18.812,26.331,61.813,284.365,55.189,100.838,80.497,82.435,52.461,45.276,58.421,60.469,44.651,55.015,75.556,124.41,18.387,1.903,6.1,143.859,1.54,0.848,2.048,1.331,2.048,0.217,72.325,64.987,88.263,57.025,29.206,17.076,14.612,13.909,10.539,14.935,24.062,40.112,106.467,0.224,0.118,0.209,0.148,58.584,11.776,0.48,31.516,0.075,706.862,816.312,822.075,906.25,209.088,68.85,113.6,103.2,54.812,99.2,499.625,1907.825,180.385,41.542,31,5.364,2.033,12.964,-0.47,19.176,54.157,54.663,47.732,6.777,17.009,26.435,11.471,11.625,22.961,1,12,47.14,59.25,29,13.375,9.5,7.5,12,11.375,2.125,0.875,9.05,10.343,11.35,15.545,19.707,31.516,32.052,32.876,27.152,31.497,0.246,0.308,0.422,0.609,0.397,7.285,25.258,0,NA,0,2320.25,1542.121,931.864,434.115,244.901,76.381,79.83,84.265,76.094,72.013,63.05,25.322,11.797,4.866,6.376,87.213,13.645,6.237,3.867,7.594,24.864,257.25,0.5,318,0.467,67.515,0.375,322.514,41.287,0.039,0.008,118.936,42.695,0.512,74.884,384.854,38.429,535.027,0.334,0.132,0.084,126.875,3.707,"none"
